IP,Status,Malicious_Count,Suspicious_Count,ISP
91.218.96.230,Clean,0,0,PP Sutyrin Boris Viktorovich
175.167.181.19,Clean,0,0,CHINA UNICOM China169 Backbone
173.226.107.10,Clean,0,0,LVLT-3549
58.211.137.92,Clean,0,0,CHINATELECOM Jiangsu province Suzhou 5G network
107.170.229.43,Malicious,4,2,DIGITALOCEAN-ASN
77.243.183.80,Malicious,1,0,M247 Europe SRL
107.170.228.59,Clean,0,0,DIGITALOCEAN-ASN
162.243.150.134,Clean,0,0,DIGITALOCEAN-ASN
107.170.227.62,Clean,0,0,DIGITALOCEAN-ASN
104.207.130.199,Clean,0,0,AS-VULTR
178.128.10.71,Clean,0,0,DIGITALOCEAN-ASN
125.231.79.108,Clean,0,0,Data Communication Business Group
47.52.156.115,Clean,0,0,Alibaba US Technology Co., Ltd.
5.39.216.195,Clean,0,0,Hostkey B.v.
31.223.143.158,Clean,0,0,Telekomunikacije Republike Srpske akcionarsko drustvo Banja Luka
103.89.90.71,Clean,0,0,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
27.188.255.108,Clean,0,0,Chinanet
42.113.223.82,Clean,0,0,FPT Telecom Company
125.105.23.64,Clean,0,0,Chinanet
74.125.126.121,Clean,0,0,GOOGLE
37.59.67.29,Clean,0,0,OVH SAS
162.209.192.179,Clean,0,0,CNSERVERS
192.99.137.174,Clean,0,0,OVH SAS
112.251.12.234,Clean,0,0,CHINA UNICOM China169 Backbone
193.112.180.102,Clean,0,0,Shenzhen Tencent Computer Systems Company Limited
5.59.142.130,Clean,0,0,Timer, LLC
5.188.207.45,Malicious,1,0,Jsc timeweb
134.101.149.200,Clean,0,0,wilhelm.tel GmbH
159.253.246.26,Clean,0,0,StarNet Telecom Sp. z o.o.
90.155.229.80,Clean,0,0,Iskratelecom JSC
90.155.204.138,Clean,0,0,Iskratelecom JSC
46.105.234.9,Clean,0,0,OVH SAS
90.155.179.167,Clean,0,0,Iskratelecom JSC
123.21.127.216,Malicious,1,0,VNPT Corp
31.223.143.175,Clean,0,0,Telekomunikacije Republike Srpske akcionarsko drustvo Banja Luka
204.188.217.102,Clean,0,0,SHARKTECH
95.27.207.123,Malicious,1,0,PVimpelCom
86.42.124.255,Clean,0,0,Eir Broadband
24.2.235.62,Clean,0,0,COMCAST-7922
118.193.81.70,Clean,0,0,CDSC-AS1
